"model","WAIC"
"Mass",81.4952696671156
"Full",81.8257497999351
"SpecSex",84.5190253348657
"SpecMass",86.7896794109283
"Species",87.1668979928044
"SexMass",87.5208182148817
"Sex",91.0935377741026
"Intercept",91.1700466377886
