Site,Day,Date
Audubon1,1,29/05/2020
Audubon1,2,30/05/2020
Audubon2,6,18/07/2020
Hort2,1,11/06/2020
Hort2,2,12/06/2020
Hort2,6,08/07/2020
Hort2,8,01/08/2020
Hort3,1,12/06/2020
Hort3,6,09/07/2020
StM1,1,07/06/2020
StM1,2,08/06/2020
StM1,3,09/06/2020
StM2,1,08/06/2020
StM2,2,09/06/2020
StM2,3,10/06/2020
