"","Abbrev","Audubon1","Audubon2","Hort2","Hort3","Inter1","Inter2","Jericho1","Jericho2","StM1","StM2"
"1","BLBR",5,3,1,0,0,3,4,0,0,0
"2","MIPE",17,0,4,4,6,15,0,0,2,5
"3","PELE",3,39,5,13,25,44,30,30,12,21
"4","ZAHU",30,0,1,0,37,5,0,0,4,1
"5","MYGA",0,4,0,0,0,0,1,0,0,0
"6","NAIN",0,4,0,0,0,0,0,0,0,0
"7","PEMA",0,4,0,0,0,0,2,3,1,0
"8","TAST",0,0,4,7,0,2,11,3,2,0
