"model","WAIC"
"SexMass",73.1828284150217
"Mass",78.1254824390889
"Intercept",83.4679178007549
"Sex",84.2992020023046
"SpeciesMass",85.6972291028924
"SpeciesSex",86.4047324094666
"Species",88.6566209156617
"Full",89.8921147280492
