"model","WAIC"
"SexMass",54.1213331960893
"SpecMass",54.5540045541739
"Mass",55.5292841270454
"Full",55.5892892829613
"SpecSex",56.10377967089
"Intercept",58.5093071902411
"Spec",58.9793893270493
"Sex",59.2241984906278
