"PC1","PC2","PC3","PC4","PC5","PC6"
"X.Tree",0.00973302003359949,-0.00508199383913371,0.043332509652501,0.262183482569115,-0.859064864530385,-0.437343246505741
"X.Shrub",0.00439139802880417,0.00262740957338772,0.0784275196590374,-0.0564446389379396,0.441011298157232,-0.892270123973259
"X.Grass",-0.492865660785748,-0.678140076760467,-0.432372818685272,0.320344874706279,0.0849313281218305,-0.020713597576684
"X.Forb",-0.333177489463954,0.712966170512739,-0.581321103414512,0.197698217093151,0.0440764181638081,-0.0413576989672733
"X.Bare",-0.010097792660657,0.133074305707968,0.464547074987906,0.83935329335624,0.227519227587303,0.100530238605185
"X.DeadVeg",0.803654291011057,-0.118590788907073,-0.501285301275246,0.286102165917591,0.0812128891891613,-0.0184138355078627
