"Ecto","abund"
"Orchopeas_leucopus",193
"Ixodes_scapularis_larva",87
"Megabothris_quirini",55
"Hyperlaelaps_",14
"Ixodes_scapularis_nymph",12
"Ctenophthalmus_pseudagyrtes",11
"Megabothris_acerbus",8
"Cuterebra_fontinella",7
"Megabothris_asio",6
"Unknown Mesostigmata_",6
"Peromyscopsylla_hesperomys",4
"Epitedia_wenmanni",2
"Androlaelaps_",1
"Doratopsylla_blarinae",1
"Monopsyllus_vison",1
"Orchopeas_howardii",1
"Peromyscopsylla_scotti",1
